DB_Object_ID	DB_Object_Symbol	DB_Object_Name	GO_ID	Aspect	Qualifier	Evidence	DB_Reference	go_bin	evidence_bin
FBgn0035720	CG10077		GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0031022	CG12204		GO:0000380	P	involved_in	IDA	PMID:38837887	BP_function	experimental
FBgn0029880	CG14443		GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0039870	CG1896		GO:0000380	P	involved_in	IDA	PMID:38837887	BP_function	experimental
FBgn0050122	CG30122		GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0051922	CG31922		GO:0000380	P	involved_in	IC	PMID:15210936	BP_function	non_experimental_or_assertion
FBgn0051922	CG31922		GO:0000380	P	involved_in	IDA	PMID:38837887	BP_function	experimental
FBgn0085342	CG34313		GO:0000380	P	involved_in	IDA	PMID:38837887	BP_function	experimental
FBgn0003261	Rm62	Rm62	GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0261789	SmD2	Small ribonucleoprotein particle protein SmD2	GO:0000380	P	involved_in	IC	PMID:33154379	BP_function	non_experimental_or_assertion
FBgn0086683	Spf45	Spf45	GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0035253	Srrm234	Serine-arginine repetitive matrix 2/3/4	GO:0000380	P	involved_in	IMP	PMID:31292260	BP_function	experimental
FBgn0264270	Sxl	Sex lethal	GO:0000380	P	involved_in	IEA	GO_REF:0000002	BP_function	non_experimental_or_assertion
FBgn0036317	anw	angel wing	GO:0000380	P	involved_in	IMP	PMID:41002027	BP_function	experimental
FBgn0028577	hfp	half pint	GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0028577	hfp	half pint	GO:0000380	P	involved_in	IMP	PMID:11879639	BP_function	experimental
FBgn0029979	mahe	maheshvara	GO:0000380	P	involved_in	IBA	GO_REF:0000033	BP_function	non_experimental_or_assertion
FBgn0265184	miso	minor splicing and oogenesis	GO:0000380	P	involved_in	IC	PMID:15210936	BP_function	non_experimental_or_assertion
FBgn0265184	miso	minor splicing and oogenesis	GO:0000380	P	involved_in	IDA	PMID:33154379	BP_function	experimental
FBgn0265184	miso	minor splicing and oogenesis	GO:0000380	P	involved_in	IDA	PMID:38837887	BP_function	experimental
