DB_Object_ID	DB_Object_Symbol	DB_Object_Name	GO_ID	Aspect	Qualifier	Evidence	DB_Reference	go_bin	evidence_bin
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	GO:0005681	C	part_of	ISS	GO_REF:0000024	CC_component	non_experimental_or_assertion
FBgn0004856	Bx42	Bx42	GO:0005681	C	part_of	IEA	GO_REF:0000002	CC_component	non_experimental_or_assertion
FBgn0036277	CG10418		GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0035520	CG11586		GO:0005681	C	part_of	IEA	GO_REF:0000002	CC_component	non_experimental_or_assertion
FBgn0039271	CG11839		GO:0005681	C	part_of	IEA	GO_REF:0000002	CC_component	non_experimental_or_assertion
FBgn0037644	CG11964		GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0037882	CG17187		GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0031628	CG3294		GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0038927	CG6015		GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0035675	CG6610		GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0035254	CG7974		GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0034564	CG9344		GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0022943	Cbp20	cap binding protein 20	GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0265574	Cdc5	Cell division cycle 5	GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0265574	Cdc5	Cell division cycle 5	GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
FBgn0033160	Dhx15	DEAH-box helicase 15	GO:0005681	C	part_of	IBA	GO_REF:0000033	CC_component	non_experimental_or_assertion
FBgn0033160	Dhx15	DEAH-box helicase 15	GO:0005681	C	part_of	ISS	PMID:10908584	CC_component	non_experimental_or_assertion
