DB_Object_ID	DB_Object_Symbol	DB_Object_Name
FBgn0263198	Acn	Acinus
FBgn0038704	Aptx	aprataxin
FBgn0033062	Ars2	Arsenic resistance protein 2
FBgn0004587	B52	B52
FBgn0039558	BCAS2	BCAS2
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit
FBgn0032248	Bug22	Basal body up regulated gene 22
FBgn0004856	Bx42	Bx42
FBgn0032690	CG10333	
FBgn0036277	CG10418	
FBgn0032822	CG10466	
FBgn0036207	CG10907	
FBgn0035520	CG11586	
FBgn0033527	CG11777	
FBgn0034000	CG11808	
FBgn0039271	CG11839	
FBgn0037644	CG11964	
FBgn0038590	CG12320	
FBgn0033556	CG12343	
FBgn0039210	CG13625	
FBgn0037220	CG14641	
FBgn0034402	CG15084	
FBgn0039732	CG15525	
FBgn0030474	CG15747	
FBgn0030468	CG1622	
FBgn0028919	CG16865	
FBgn0037882	CG17187	
FBgn0033089	CG17266	
FBgn0029751	CG17764	
FBgn0032240	CG17768	
FBgn0037466	CG1965	
FBgn0035271	CG2021	
FBgn0024998	CG2685	
FBgn0037342	CG2931	
FBgn0050122	CG30122	
FBgn0029887	CG3198	
FBgn0031631	CG3225	
FBgn0031628	CG3294	
FBgn0031229	CG3436	
FBgn0035027	CG3511	
FBgn0028474	CG4119	
FBgn0261641	CG42724	
FBgn0031287	CG4291	
FBgn0035021	CG4622	
FBgn0039566	CG4849	
FBgn0031318	CG4887	
FBgn0028897	CG4935	
FBgn0038046	CG5641	
FBgn0030625	CG5877	
FBgn0038927	CG6015	
FBgn0030915	CG6179	
FBgn0033862	CG6209	
FBgn0035675	CG6610	
FBgn0036063	CG6674	
FBgn0032388	CG6686	
FBgn0031961	CG7102	
FBgn0037573	CG7483	
FBgn0036734	CG7564	
FBgn0034109	CG7747	
FBgn0035254	CG7974	
FBgn0036386	CG8833	
FBgn0034564	CG9344	
FBgn0037550	CG9667	
FBgn0031883	Caper	Caper
FBgn0022943	Cbp20	cap binding protein 20
FBgn0022942	Cbp80	cap binding protein 80
FBgn0012058	Cdc27	Cell division cycle 27
FBgn0013435	Cdc2rk	Cdc2-related kinase
FBgn0265574	Cdc5	Cell division cycle 5
FBgn0031452	Cwc25	Cwc25
FBgn0036020	Cyp40	Cyclophilin 40
FBgn0035141	Cypl	Cyclophilin-like
FBgn0033160	Dhx15	DEAH-box helicase 15
FBgn0031601	Dim1	Dim1
FBgn0023506	Es2	Es2
FBgn0036964	FRG1	FSHD region gene 1
FBgn0036850	Gem2	Gemin 2
FBgn0038454	Gpkow	G-patch domain and KOW motifs
FBgn0014189	Hel25E	Helicase at 25E
FBgn0266599	Hsc70-4	Heat shock protein 70 cognate 4
FBgn0285926	Imp	IGF-II mRNA-binding protein
FBgn0051184	LSm3	Like Sm 3
FBgn0261068	LSm7	Like Sm 7
FBgn0035294	Mfap1	Microfibril-associated protein 1
FBgn0039581	Moca-cyp	Moca-cyp
FBgn0001986	Mtr4	Mtr4 helicase
FBgn0024542	Neos	Neosin
FBgn0039488	Nkap	NFKB activating protein
FBgn0039270	PQBP1	Poly-glutamine tract binding protein 1
FBgn0005648	Pabp2	Pabp2
FBgn0004401	Pep	Protein on ecdysone puffs
FBgn0031822	Phf5a	PHD finger protein 5a
FBgn0037737	Pnn	Pinin
FBgn0027617	Ppil4	Peptidyl-prolyl cis/trans isomerase-like 4
FBgn0026713	Prp16	pre-mRNA processing factor 16
FBgn0027784	Prp18	Prp18
FBgn0261119	Prp19	Pre-RNA processing factor 19
FBgn0036915	Prp3	Precursor RNA processing 3
FBgn0036487	Prp31	Pre-mRNA processing factor 31
FBgn0050342	Prp38	pre-mRNA processing factor 38
FBgn0039600	Prp39	pre-mRNA processing factor 39
FBgn0031492	Prp40	pre-mRNA processing factor 40
FBgn0027587	Prp4k	Pre-mRNA processing factor 4 kinase
FBgn0030631	Prp5	pre-mRNA processing factor 5
FBgn0036828	Prp6	pre-mRNA processing factor 6
FBgn0033688	Prp8	pre-mRNA processing factor 8
FBgn0029133	REG	Proteasome regulator gamma
FBgn0030479	Rbp1-like	Rbp1-like
FBgn0010774	Ref1	RNA and export factor binding protein 1
FBgn0003261	Rm62	Rm62
FBgn0005649	Rox8	Rox8
FBgn0025571	SF1	Splicing factor 1
FBgn0283477	SF2	Splicing factor 2
FBgn0261791	SNRPG	Small nuclear ribonucleoprotein G
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1
FBgn0036314	Sf3a2	Splicing factor 3a subunit 2
FBgn0031266	Sf3b1	Splicing factor 3b subunit 1
FBgn0031493	Sf3b2	Splicing factor 3b subunit 2
FBgn0035162	Sf3b3	Splicing factor 3b subunit 3
FBgn0040534	Sf3b5	Splicing factor 3b subunit 5
FBgn0035692	Sf3b6	Splicing factor 3b subunit 6
FBgn0039626	Slu7	Slu7
FBgn0262601	SmB	Small ribonucleoprotein particle protein SmB
FBgn0261933	SmD1	Small ribonucleoprotein particle protein SmD1
FBgn0261789	SmD2	Small ribonucleoprotein particle protein SmD2
FBgn0023167	SmD3	Small ribonucleoprotein particle protein SmD3
FBgn0261790	SmE	Small ribonucleoprotein particle protein SmE
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF
FBgn0038666	Smu1	Smu1 spliceosomal factor
FBgn0039977	Spf30	Splicing factor 30
FBgn0086683	Spf45	Spf45
FBgn0015818	Spx	Spliceosomal protein on the X
FBgn0024285	Srp54	Splicing regulatory protein 54
