FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	FlyBase_FBtr	FlyBase_FBpp
FBgn0263198	Acn	Acinus	BP_function	FBtr0081144	FBpp0080688
FBgn0263198	Acn	Acinus	BP_function	FBtr0081145	FBpp0080689
FBgn0263198	Acn	Acinus	BP_function	FBtr0336842	FBpp0307803
FBgn0038704	Aptx	aprataxin	BP_function	FBtr0083758	FBpp0083172
FBgn0038704	Aptx	aprataxin	BP_function	FBtr0083759	FBpp0083173
FBgn0038704	Aptx	aprataxin	BP_function	FBtr0083760	FBpp0083174
FBgn0038704	Aptx	aprataxin	BP_function	FBtr0445726	FBpp0401601
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0086018	FBpp0085354
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0086020	FBpp0085356
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0086021	FBpp0085357
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0310665	FBpp0302785
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0310666	FBpp0302786
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function	FBtr0310667	FBpp0302787
FBgn0004587	B52	B52	BP_function	FBtr0082801	FBpp0082269
FBgn0004587	B52	B52	BP_function	FBtr0082802	FBpp0082270
FBgn0004587	B52	B52	BP_function	FBtr0082803	FBpp0082271
FBgn0004587	B52	B52	BP_function	FBtr0082804	FBpp0082272
FBgn0004587	B52	B52	BP_function	FBtr0082806	FBpp0082274
FBgn0004587	B52	B52	BP_function	FBtr0300586	FBpp0289813
FBgn0004587	B52	B52	BP_function	FBtr0300588	FBpp0289815
FBgn0004587	B52	B52	BP_function	FBtr0308195	FBpp0300515
FBgn0004587	B52	B52	BP_function	FBtr0308196	FBpp0300516
FBgn0004587	B52	B52	BP_function	FBtr0308197	FBpp0300517
FBgn0039558	BCAS2	BCAS2	BP_function	FBtr0085269	FBpp0084638
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	BP_function	FBtr0075527	FBpp0075282
FBgn0032248	Bug22	Basal body up regulated gene 22	BP_function	FBtr0080044	FBpp0079634
FBgn0004856	Bx42	Bx42	BP_function	FBtr0071350	FBpp0071285
FBgn0004856	Bx42	Bx42	BP_function	FBtr0333809	FBpp0305943
FBgn0035720	CG10077		BP_function	FBtr0076940	FBpp0076649
FBgn0035720	CG10077		BP_function	FBtr0300937	FBpp0290159
FBgn0035720	CG10077		BP_function	FBtr0333083	FBpp0305296
FBgn0032690	CG10333		BP_function	FBtr0081072	FBpp0080622
FBgn0034731	CG10384		BP_function	FBtr0342991	FBpp0309755
FBgn0034731	CG10384		BP_function	FBtr0342992	FBpp0309756
FBgn0036277	CG10418		BP_function	FBtr0075954	FBpp0075686
FBgn0037531	CG10445		BP_function	FBtr0300685	FBpp0289909
FBgn0037531	CG10445		BP_function	FBtr0304704	FBpp0293247
FBgn0037531	CG10445		BP_function	FBtr0339711	FBpp0308768
FBgn0032822	CG10466		BP_function	FBtr0081291	FBpp0080829
FBgn0032822	CG10466		BP_function	FBtr0332178	FBpp0304487
FBgn0036207	CG10907		BP_function	FBtr0076029	FBpp0075761
FBgn0039920	CG11360		BP_function	FBtr0089091	FBpp0088160
FBgn0039920	CG11360		BP_function	FBtr0310539	FBpp0302676
FBgn0039920	CG11360		BP_function	FBtr0310540	FBpp0302677
FBgn0039920	CG11360		BP_function	FBtr0310541	FBpp0302678
FBgn0031224	CG11454		BP_function	FBtr0078116	FBpp0077775
