FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	matrix_column	vst_expression	gsm_id	title	replicate	developmental_stage	timing	coarse_stage	exact_stage_label	stage_sort_key
FBgn0000114	bru1	bruno 1	BP_function	embryo 10h 1	7.174037452985219	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0000377	crn	crooked neck	BP_function;CC_component	embryo 10h 1	9.057576339350392	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF	BP_function;CC_component	embryo 10h 1	8.358075474200295	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0000543	ecd	ecdysoneless	BP_function	embryo 10h 1	8.551666467513387	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0000615	exu	exuperantia	BP_function;CC_component	embryo 10h 1	5.93794320201961	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0000662	fl(2)d	female lethal d	BP_function	embryo 10h 1	9.975279580820612	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0001215	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE	BP_function	embryo 10h 1	12.580755638104709	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0001491	l(1)10Bb	lethal (1) 10Bb	BP_function;CC_component	embryo 10h 1	8.729218641702344	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A	BP_function	embryo 10h 1	14.107849140238256	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0001986	Mtr4	Mtr4 helicase	BP_function;CC_component	embryo 10h 1	9.295334025315851	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0002736	mago	mago nashi	BP_function;CC_component	embryo 10h 1	10.219945644855926	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
FBgn0002780	mod	modulo	BP_function	embryo 10h 1	12.022320769958704	GSM8330943	Dmel embryo 10h 1	biol rep 1	embryo	10h	embryo	embryo_10h	20
