FlyBase_FBgn	exact_stage_label	vst_expression
FBgn0000114	embryo_10h	6.890978666208234
FBgn0000114	imago_5d	11.446371082459109
FBgn0000114	larvae_1instar	7.389508087975485
FBgn0000114	larvae_2instar	6.850427155562569
FBgn0000114	larvae_3instar	7.092319170933152
FBgn0000114	pupae_24h	8.514291531558813
FBgn0000114	pupae_48h	10.563404069280496
FBgn0000114	pupae_P1	8.72502051338754
FBgn0000114	pupae_P2	8.248919422770992
FBgn0000114	pupae_P3	7.866158244455613
FBgn0000114	pupae_P4	8.561116920972822
FBgn0000114	pupae_P5	8.151343016078785
FBgn0000377	embryo_10h	9.076944917286847
FBgn0000377	imago_5d	7.8999117895062545
FBgn0000377	larvae_1instar	8.882089531975291
FBgn0000377	larvae_2instar	8.938345661547894
FBgn0000377	larvae_3instar	10.064130825075418
FBgn0000377	pupae_24h	9.098878613275035
FBgn0000377	pupae_48h	8.737555782175853
FBgn0000377	pupae_P1	8.564836152100868
FBgn0000377	pupae_P2	8.516807988649612
FBgn0000377	pupae_P3	8.591860114304895
FBgn0000377	pupae_P4	8.569581391440877
FBgn0000377	pupae_P5	8.75326121917591
FBgn0000426	embryo_10h	8.462531477233172
FBgn0000426	imago_5d	7.332829134200298
FBgn0000426	larvae_1instar	8.874171590540936
FBgn0000426	larvae_2instar	9.127072653191034
FBgn0000426	larvae_3instar	9.635829406146703
FBgn0000426	pupae_24h	8.789272139326009
FBgn0000426	pupae_48h	8.006791693002176
FBgn0000426	pupae_P1	8.02685290499822
FBgn0000426	pupae_P2	7.916460060471011
FBgn0000426	pupae_P3	7.85939418056905
FBgn0000426	pupae_P4	7.914812949314594
FBgn0000426	pupae_P5	8.735463722579878
FBgn0000543	embryo_10h	8.606588600022526
FBgn0000543	imago_5d	8.066542017624725
FBgn0000543	larvae_1instar	8.084771180961459
FBgn0000543	larvae_2instar	8.081800514409503
FBgn0000543	larvae_3instar	9.4814882101245
FBgn0000543	pupae_24h	9.829651036885025
FBgn0000543	pupae_48h	9.138536882196862
FBgn0000543	pupae_P1	9.400506676883737
FBgn0000543	pupae_P2	9.359226286516016
FBgn0000543	pupae_P3	9.29596825271416
FBgn0000543	pupae_P4	9.156015135668673
FBgn0000543	pupae_P5	9.64813087104445
FBgn0000615	embryo_10h	5.547586151296524
FBgn0000615	imago_5d	12.688186014554256
FBgn0000615	larvae_1instar	7.077014580649676
FBgn0000615	larvae_2instar	8.393206776446034
FBgn0000615	larvae_3instar	8.819128080883456
FBgn0000615	pupae_24h	9.37521292222842
FBgn0000615	pupae_48h	10.093343871590626
FBgn0000615	pupae_P1	9.687198984000391
FBgn0000615	pupae_P2	9.616064196844375
FBgn0000615	pupae_P3	9.570748493691026
FBgn0000615	pupae_P4	10.165477265248816
FBgn0000615	pupae_P5	9.795040316053173
FBgn0000662	embryo_10h	10.008687952966728
FBgn0000662	imago_5d	8.096243857015628
FBgn0000662	larvae_1instar	9.003187790784668
FBgn0000662	larvae_2instar	8.513270098787046
FBgn0000662	larvae_3instar	7.432616152095269
FBgn0000662	pupae_24h	8.346430007486816
FBgn0000662	pupae_48h	8.37212575851372
FBgn0000662	pupae_P1	8.901583149120802
FBgn0000662	pupae_P2	8.87382018959296
FBgn0000662	pupae_P3	8.759178991179093
FBgn0000662	pupae_P4	8.590295912557808
FBgn0000662	pupae_P5	8.539737211889118
FBgn0001215	embryo_10h	12.580875632132004
FBgn0001215	imago_5d	10.830818738804515
FBgn0001215	larvae_1instar	10.594703693344831
FBgn0001215	larvae_2instar	10.611547616772828
FBgn0001215	larvae_3instar	10.456621578789472
FBgn0001215	pupae_24h	11.369189666953396
FBgn0001215	pupae_48h	10.615694121871348
FBgn0001215	pupae_P1	11.194245935283865
FBgn0001215	pupae_P2	11.336178573120662
FBgn0001215	pupae_P3	11.261623319510152
FBgn0001215	pupae_P4	11.137755312269357
FBgn0001215	pupae_P5	11.332953162260916
FBgn0001491	embryo_10h	8.685166340968815
FBgn0001491	imago_5d	7.927613123855966
FBgn0001491	larvae_1instar	8.452829197944968
FBgn0001491	larvae_2instar	7.987205683786075
FBgn0001491	larvae_3instar	6.549355528414476
FBgn0001491	pupae_24h	7.31127387238172
FBgn0001491	pupae_48h	7.415909200391517
FBgn0001491	pupae_P1	7.422427091017956
FBgn0001491	pupae_P2	7.376223786617774
FBgn0001491	pupae_P3	7.299387983794012
FBgn0001491	pupae_P4	7.8512799126662385
FBgn0001491	pupae_P5	7.900648768363868
FBgn0001942	embryo_10h	14.135585837882
FBgn0001942	imago_5d	13.852567092510128
FBgn0001942	larvae_1instar	14.457708960292376
FBgn0001942	larvae_2instar	14.707265281056792
FBgn0001942	larvae_3instar	15.086624258812858
FBgn0001942	pupae_24h	14.89957605185832
FBgn0001942	pupae_48h	14.456576754388012
FBgn0001942	pupae_P1	14.449256928993776
FBgn0001942	pupae_P2	14.472417740037288
FBgn0001942	pupae_P3	14.606887183295717
FBgn0001942	pupae_P4	14.153591571669693
FBgn0001942	pupae_P5	14.389289008605282
FBgn0001986	embryo_10h	9.338376654164136
FBgn0001986	imago_5d	8.151261734585177
FBgn0001986	larvae_1instar	9.193315057295832
FBgn0001986	larvae_2instar	8.772904942175723
FBgn0001986	larvae_3instar	7.971352515985177
FBgn0001986	pupae_24h	8.430618535016974
FBgn0001986	pupae_48h	7.927660446163933
FBgn0001986	pupae_P1	8.137864580960622
FBgn0001986	pupae_P2	8.022453385059736
FBgn0001986	pupae_P3	7.933064162902515
FBgn0001986	pupae_P4	7.957272283431902
FBgn0001986	pupae_P5	8.161664901149166
FBgn0002736	embryo_10h	10.155803289572306
FBgn0002736	imago_5d	8.175196303377547
FBgn0002736	larvae_1instar	9.89259680193904
FBgn0002736	larvae_2instar	10.362223796879135
FBgn0002736	larvae_3instar	9.730244971479054
FBgn0002736	pupae_24h	9.458185085989609
FBgn0002736	pupae_48h	8.823965496958749
FBgn0002736	pupae_P1	8.942311834065327
FBgn0002736	pupae_P2	9.001519897075875
FBgn0002736	pupae_P3	8.958063932797332
FBgn0002736	pupae_P4	8.659659718839704
FBgn0002736	pupae_P5	9.493364767360701
FBgn0002780	embryo_10h	12.0637602076617
FBgn0002780	imago_5d	9.510927161069421
FBgn0002780	larvae_1instar	13.295219609833117
FBgn0002780	larvae_2instar	12.667614375595688
FBgn0002780	larvae_3instar	10.146323846232464
FBgn0002780	pupae_24h	10.293421316004933
FBgn0002780	pupae_48h	10.662399669233992
FBgn0002780	pupae_P1	10.392061630416753
FBgn0002780	pupae_P2	10.267368949064329
FBgn0002780	pupae_P3	10.251348802069272
FBgn0002780	pupae_P4	9.912628671500157
FBgn0002780	pupae_P5	10.337001123615075
FBgn0003261	embryo_10h	13.745378191304175
FBgn0003261	imago_5d	11.709310772246411
FBgn0003261	larvae_1instar	13.150504680145824
FBgn0003261	larvae_2instar	12.314483216190936
FBgn0003261	larvae_3instar	11.399880317724689
FBgn0003261	pupae_24h	12.156413787604235
FBgn0003261	pupae_48h	12.039987446316703
FBgn0003261	pupae_P1	12.174952468289716
FBgn0003261	pupae_P2	12.013200275949123
FBgn0003261	pupae_P3	11.815011275755944
FBgn0003261	pupae_P4	11.708250314965085
FBgn0003261	pupae_P5	12.24947019391376
FBgn0003435	embryo_10h	9.527669440745385
FBgn0003435	imago_5d	11.82528566540786
FBgn0003435	larvae_1instar	8.056985875988085
FBgn0003435	larvae_2instar	6.688042103265356
FBgn0003435	larvae_3instar	7.381304446250593
FBgn0003435	pupae_24h	8.964617612692832
FBgn0003435	pupae_48h	10.53458187221125
FBgn0003435	pupae_P1	9.94051318843343
FBgn0003435	pupae_P2	10.534581877220791
FBgn0003435	pupae_P3	10.212056193636224
FBgn0003435	pupae_P4	10.090900578038424
FBgn0003435	pupae_P5	9.687162444848676
FBgn0003449	embryo_10h	9.165567986393727
FBgn0003449	imago_5d	8.505863723121251
FBgn0003449	larvae_1instar	9.196492098797556
FBgn0003449	larvae_2instar	9.539535788027866
FBgn0003449	larvae_3instar	9.37508229767794
FBgn0003449	pupae_24h	10.07677020831343
FBgn0003449	pupae_48h	9.505110007616464
FBgn0003449	pupae_P1	9.219068101774743
FBgn0003449	pupae_P2	9.29296660389286
FBgn0003449	pupae_P3	9.28961880454252
FBgn0003449	pupae_P4	9.23388288033465
FBgn0003449	pupae_P5	9.769639829171263
FBgn0003741	embryo_10h	7.57297213560123
FBgn0003741	imago_5d	6.4418635022721595
FBgn0003741	larvae_1instar	6.234443427788155
FBgn0003741	larvae_2instar	5.950922864041248
FBgn0003741	larvae_3instar	6.6413453826794
FBgn0003741	pupae_24h	7.193132429622698
FBgn0003741	pupae_48h	6.731584023973263
FBgn0003741	pupae_P1	6.46479591616177
FBgn0003741	pupae_P2	6.616063060710111
FBgn0003741	pupae_P3	6.531995410522943
FBgn0003741	pupae_P4	7.0296066774728425
FBgn0003741	pupae_P5	7.453721731492696
FBgn0003742	embryo_10h	8.883552501267852
FBgn0003742	imago_5d	8.919353716728006
FBgn0003742	larvae_1instar	8.319059728949728
FBgn0003742	larvae_2instar	8.465041726997384
FBgn0003742	larvae_3instar	7.882360400696013
FBgn0003742	pupae_24h	8.614912007285364
FBgn0003742	pupae_48h	8.374994721284578
FBgn0003742	pupae_P1	8.200691109670073
FBgn0003742	pupae_P2	8.332281080291898
FBgn0003742	pupae_P3	8.19638814353747
FBgn0003742	pupae_P4	8.629555268417105
FBgn0003742	pupae_P5	8.802442716053635
FBgn0003977	embryo_10h	9.023600469450104
FBgn0003977	imago_5d	7.110649847521312
FBgn0003977	larvae_1instar	7.727076749931263
FBgn0003977	larvae_2instar	7.832427923609724
FBgn0003977	larvae_3instar	8.689184740159277
FBgn0003977	pupae_24h	8.747108734731412
FBgn0003977	pupae_48h	7.950098668122069
FBgn0003977	pupae_P1	8.497729076474556
FBgn0003977	pupae_P2	8.315762974494794
FBgn0003977	pupae_P3	8.134948050299302
FBgn0003977	pupae_P4	8.418794175273455
