FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	embryo_10h	larvae_1instar	larvae_2instar	larvae_3instar	pupae_P1	pupae_P2	pupae_P3	pupae_P4	pupae_P5	pupae_24h	pupae_48h	imago_5d
FBgn0000114	bru1	bruno 1	BP_function	6.890978666208234	7.389508087975485	6.850427155562569	7.092319170933152	8.72502051338754	8.248919422770992	7.866158244455613	8.561116920972822	8.151343016078785	8.514291531558813	10.563404069280496	11.446371082459109
FBgn0000377	crn	crooked neck	BP_function;CC_component	9.076944917286847	8.882089531975291	8.938345661547894	10.064130825075418	8.564836152100868	8.516807988649612	8.591860114304895	8.569581391440877	8.75326121917591	9.098878613275035	8.737555782175853	7.8999117895062545
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF	BP_function;CC_component	8.462531477233172	8.874171590540936	9.127072653191034	9.635829406146703	8.02685290499822	7.916460060471011	7.85939418056905	7.914812949314594	8.735463722579878	8.789272139326009	8.006791693002176	7.332829134200298
FBgn0000543	ecd	ecdysoneless	BP_function	8.606588600022526	8.084771180961459	8.081800514409503	9.4814882101245	9.400506676883737	9.359226286516016	9.29596825271416	9.156015135668673	9.64813087104445	9.829651036885025	9.138536882196862	8.066542017624725
FBgn0000615	exu	exuperantia	BP_function;CC_component	5.547586151296524	7.077014580649676	8.393206776446034	8.819128080883456	9.687198984000391	9.616064196844375	9.570748493691026	10.165477265248816	9.795040316053173	9.37521292222842	10.093343871590626	12.688186014554256
FBgn0000662	fl(2)d	female lethal d	BP_function	10.008687952966728	9.003187790784668	8.513270098787046	7.432616152095269	8.901583149120802	8.87382018959296	8.759178991179093	8.590295912557808	8.539737211889118	8.346430007486816	8.37212575851372	8.096243857015628
FBgn0001215	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE	BP_function	12.580875632132004	10.594703693344831	10.611547616772828	10.456621578789472	11.194245935283865	11.336178573120662	11.261623319510152	11.137755312269357	11.332953162260916	11.369189666953396	10.615694121871348	10.830818738804515
FBgn0001491	l(1)10Bb	lethal (1) 10Bb	BP_function;CC_component	8.685166340968815	8.452829197944968	7.987205683786075	6.549355528414476	7.422427091017956	7.376223786617774	7.299387983794012	7.8512799126662385	7.900648768363868	7.31127387238172	7.415909200391517	7.927613123855966
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A	BP_function	14.135585837882	14.457708960292376	14.707265281056792	15.086624258812858	14.449256928993776	14.472417740037288	14.606887183295717	14.153591571669693	14.389289008605282	14.89957605185832	14.456576754388012	13.852567092510128
FBgn0001986	Mtr4	Mtr4 helicase	BP_function;CC_component	9.338376654164136	9.193315057295832	8.772904942175723	7.971352515985177	8.137864580960622	8.022453385059736	7.933064162902515	7.957272283431902	8.161664901149166	8.430618535016974	7.927660446163933	8.151261734585177
FBgn0002736	mago	mago nashi	BP_function;CC_component	10.155803289572306	9.89259680193904	10.362223796879135	9.730244971479054	8.942311834065327	9.001519897075875	8.958063932797332	8.659659718839704	9.493364767360701	9.458185085989609	8.823965496958749	8.175196303377547
FBgn0002780	mod	modulo	BP_function	12.0637602076617	13.295219609833117	12.667614375595688	10.146323846232464	10.392061630416753	10.267368949064329	10.251348802069272	9.912628671500157	10.337001123615075	10.293421316004933	10.662399669233992	9.510927161069421
FBgn0003261	Rm62	Rm62	BP_function;CC_component	13.745378191304175	13.150504680145824	12.314483216190936	11.399880317724689	12.174952468289716	12.013200275949123	11.815011275755944	11.708250314965085	12.24947019391376	12.156413787604235	12.039987446316703	11.709310772246411
FBgn0003435	sm	smooth	BP_function	9.527669440745385	8.056985875988085	6.688042103265356	7.381304446250593	9.94051318843343	10.534581877220791	10.212056193636224	10.090900578038424	9.687162444848676	8.964617612692832	10.53458187221125	11.82528566540786
FBgn0003449	snf	sans fille	BP_function;CC_component	9.165567986393727	9.196492098797556	9.539535788027866	9.37508229767794	9.219068101774743	9.29296660389286	9.28961880454252	9.23388288033465	9.769639829171263	10.07677020831343	9.505110007616464	8.505863723121251
FBgn0003741	tra	transformer	BP_function	7.57297213560123	6.234443427788155	5.950922864041248	6.6413453826794	6.46479591616177	6.616063060710111	6.531995410522943	7.0296066774728425	7.453721731492696	7.193132429622698	6.731584023973263	6.4418635022721595
FBgn0003742	tra2	transformer 2	BP_function;CC_component	8.883552501267852	8.319059728949728	8.465041726997384	7.882360400696013	8.200691109670073	8.332281080291898	8.19638814353747	8.629555268417105	8.802442716053635	8.614912007285364	8.374994721284578	8.919353716728006
FBgn0003977	vir	virilizer	BP_function	9.023600469450104	7.727076749931263	7.832427923609724	8.689184740159277	8.497729076474556	8.315762974494794	8.134948050299302	8.418794175273455	8.2875211115347	8.747108734731412	7.950098668122069	7.110649847521312
FBgn0004227	nonA	no on or off transient A	BP_function;CC_component	10.716297757134592	8.525467577809701	8.572989885055332	8.252446198004485	9.820691970946791	9.8208980041773	9.389693888471722	8.881110098524971	9.451174317776326	9.281764062179478	8.85611789696713	8.134378509820401
FBgn0004237	Hrb87F	Heterogeneous nuclear ribonucleoprotein at 87F	BP_function	12.035562656035836	10.935017099447496	10.775556358757967	10.691124687631214	11.844102514963582	11.396956748062808	11.02110592809972	10.235725149038984	10.700194179482722	11.097986405786266	9.795706203435088	9.659181212901352
FBgn0004401	Pep	Protein on ecdysone puffs	BP_function;CC_component	12.935333690934783	10.939760824566084	10.8267816882584	11.221816384569063	11.746707543657218	11.672275110826439	11.522045214509765	11.210393681384238	11.431979454138519	11.890417339555162	10.656684951696798	10.113432506028426
FBgn0004587	B52	B52	BP_function;CC_component	12.41073804532265	12.088056059518191	11.881025289004114	11.396686063579205	11.383062069419061	11.254644974749901	11.3096803842962	11.219921557676772	11.551416922424437	11.983634103577737	10.884826450009944	10.187216991310992
FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	BP_function	12.9006024512501	11.52119090114888	11.392253860191987	10.256167129293122	11.719780292577923	11.558509196809721	11.018921233269936	10.691966271567678	10.560904642606692	9.23152104772925	9.444230835610924	10.744384864943584
FBgn0004856	Bx42	Bx42	BP_function;CC_component	10.25807971990195	8.897795895694337	9.24177581261224	9.68904399604526	9.227269372593737	9.232632302983218	9.349790565581886	9.063271762593102	9.243192217689101	9.736021305073054	9.328872587202312	8.302484046534401
FBgn0005411	U2af50	U2 small nuclear riboprotein auxiliary factor 50	BP_function;CC_component	10.893036805191665	10.09160902864086	10.14812265505855	10.224083614428448	9.795760209912478	9.79082246374902	9.977461644080009	10.111926493445884	10.369051031116697	10.779284672961808	10.318154610381427	9.381749543789944
FBgn0005648	Pabp2	Pabp2	BP_function;CC_component	10.866740767257307	9.970712036358634	9.62964988183756	8.981630296452412	9.288530405224693	9.265807458805044	9.17787812267808	9.507010465853458	9.10724342249578	8.373315356920772	7.831340274237863	8.401329530051362
FBgn0005649	Rox8	Rox8	BP_function;CC_component	10.982791306829169	9.480698933754509	9.262049986884858	9.112123228431493	10.721482750810294	10.694210571580173	10.404758439500482	10.141645159559944	10.385892418010643	9.602002868585984	9.036037359418913	9.165418543911985
FBgn0010220	Dbp45A	DEAD box protein 45A	BP_function	8.382931834754103	8.962699198467543	8.54011914325521	7.21512677754836	7.050187174796247	7.250968402191084	7.4775594701124115	7.43917677154275	7.547307121612415	7.802677878124109	7.850247599178563	7.604809893777687
FBgn0010247	Parp1	Poly-(ADP-ribose) polymerase 1	BP_function	8.142469817338997	8.021477919455386	7.388372170243497	7.27272464010383	8.106224869510191	8.394988122739488	8.221039542528866	8.061846935402974	8.261553089161742	7.618968856913152	7.934567056655415	8.086114313091711
FBgn0010774	Ref1	RNA and export factor binding protein 1	BP_function;CC_component	11.582199950678742	10.388077497793516	10.682414704466098	10.972180951652003	10.541621450485628	10.68033305184433	10.524104617562225	10.451175417895225	10.769131308293053	11.14512483643909	10.346188849120928	9.40880121557028
FBgn0011224	heph	hephaestus	BP_function	10.018865278360142	9.506519976494705	8.278226901183434	8.280528675186963	10.473376671032637	10.340617160819953	10.2410581231659	10.129871852664387	10.884388868515906	10.196412303645921	9.38452703248176	9.761758231779284
FBgn0011305	Rsf1	Repressor splicing factor 1	BP_function	9.932443753317436	8.736811885252207	7.957562600405141	9.61947423829468	9.590450610343932	9.703907977154396	9.700791543233414	9.585109492071567	10.156682484927318	10.313033657806214	10.011114271766571	8.48893785444095
FBgn0011640	lark	lark	BP_function;CC_component	11.337198376100664	10.15826086669572	10.479344736861222	10.618942593006922	10.661233834718315	10.697551064713418	10.548058396906141	10.605906503614511	10.753400442407402	11.269290419192863	10.28062954020008	9.162057131654583
FBgn0012058	Cdc27	Cell division cycle 27	BP_function;CC_component	9.36322720081691	7.770592069249489	8.179107322680368	7.642971226354695	8.800629177672059	8.710658506272582	8.695412430681989	8.815355925323823	8.59998834394279	8.694540454682807	8.595850470294438	9.274869525816174
FBgn0013435	Cdc2rk	Cdc2-related kinase	BP_function;CC_component	7.518461950090098	7.709291456492138	7.730804244544605	8.770529183076716	7.312549289461873	7.3534223389391675	7.586942007902916	7.163008875106715	7.5115559686543945	7.968249615625873	7.327814864432295	7.060935060472784
FBgn0014024	Rnp4F	RNA-binding protein 4F	BP_function	8.051734374128555	8.767064928095419	8.436737573116215	8.294366345631666	8.245056681710617	8.017050209344164	7.742861053250782	7.83955335716644	8.191575371577066	8.362187984973204	7.741668408462307	7.47659212211401
FBgn0014189	Hel25E	Helicase at 25E	BP_function;CC_component	11.811328051120876	11.496934893291993	11.827654354500693	10.651470265728658	10.823793123093061	10.814779169310548	10.682586788692504	10.370489368986812	11.189127171583175	11.484755961549164	10.3805333310666	9.501473307778324
FBgn0014366	noi	noisette	BP_function;CC_component	9.205782178927128	8.928703520327906	9.100293025975416	9.775230664381832	8.865288596166026	8.837205361303276	8.730086965772216	8.477261205484895	8.941459188133942	9.423330364249756	8.699074324119673	8.1147222430551
FBgn0014870	Psi	P-element somatic inhibitor	BP_function	10.301655749748626	9.288683942432332	8.47203144478837	7.936417980679843	9.530520824161421	9.497117876293428	9.090400779144112	9.132405389014407	9.457162017732273	9.22224461058508	8.605223045663903	8.323111557955288
FBgn0015331	abs	abstrakt	BP_function;CC_component	8.493403192923234	7.821115317770511	7.342957298908808	8.209263373873425	8.412534202668484	8.380449492589465	8.351922919581488	8.002937610854834	8.302023008293613	8.615730121377744	8.085745108525058	8.051699496645675
FBgn0015778	rin	rasputin	CC_component	11.383532267534221	10.77115215122945	10.296949140442097	9.426135658156904	11.161449475910715	11.136261994028274	10.721658440307928	10.499751735410035	10.773402319612444	9.851202109058285	9.510467512676238	10.51015073521882
FBgn0015818	Spx	Spliceosomal protein on the X	BP_function;CC_component	8.627858136099293	8.359380232631565	8.90777466461925	8.973068010204855	8.217476969078207	8.173053358614327	7.864524510907387	7.99965094978257	8.355571918907813	8.527076749777022	7.845585393797498	7.32628389765656
FBgn0016978	snRNP-U1-70K	small ribonucleoprotein particle U1 subunit 70K	BP_function;CC_component	10.345002792749291	9.619678026968035	9.282042767165844	9.976968039118912	9.167283633763036	9.127628518568587	8.99388289437015	8.990103553565282	9.255721729522442	9.591374465405979	8.641246686462573	8.467696242736542
