gsm_id	title	organism	species_short	source_name	tissue	gender	replicate	developmental_stage	timing	coarse_stage	exact_stage_label	srx_accession	sra_relation
GSM8330943	Dmel embryo 10h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	embryo	10h	embryo	embryo_10h	SRX24935395	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935395
GSM8330944	Dmel embryo 10h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	embryo	10h	embryo	embryo_10h	SRX24935396	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935396
GSM8330945	Dmel embryo 10h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	embryo	10h	embryo	embryo_10h	SRX24935397	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935397
GSM8330946	Dmel larvae 1instar 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	larvae	1instar	larva	larvae_1instar	SRX24935398	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935398
GSM8330947	Dmel larvae 2instar 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	larvae	2instar	larva	larvae_2instar	SRX24935399	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935399
GSM8330948	Dmel larvae 3instar 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	larvae	3instar	larva	larvae_3instar	SRX24935400	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935400
GSM8330949	Dmel pupae P1 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P1	pupa	pupae_P1	SRX24935401	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935401
GSM8330950	Dmel pupae P1 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P1	pupa	pupae_P1	SRX24935402	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935402
GSM8330951	Dmel pupae P1 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P1	pupa	pupae_P1	SRX24935403	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935403
GSM8330952	Dmel pupae P2 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P2	pupa	pupae_P2	SRX24935404	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935404
GSM8330953	Dmel pupae P2 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P2	pupa	pupae_P2	SRX24935405	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935405
GSM8330954	Dmel pupae P2 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P2	pupa	pupae_P2	SRX24935406	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935406
GSM8330955	Dmel pupae P3 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P3	pupa	pupae_P3	SRX24935407	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935407
GSM8330956	Dmel pupae P3 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P3	pupa	pupae_P3	SRX24935408	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935408
GSM8330957	Dmel pupae P3 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P3	pupa	pupae_P3	SRX24935409	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935409
GSM8330958	Dmel pupae P4 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P4	pupa	pupae_P4	SRX24935410	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935410
GSM8330959	Dmel pupae P4 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P4	pupa	pupae_P4	SRX24935423	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935423
