FBgn	DB_Object_Symbol	DB_Object_Name	BP_support	CC_support	Experimental_support	Has_protein_mapping	n_transcripts	Has_transcript_mapping	go_class
FBgn0263198	Acn	Acinus	True	True	True	True	3	True	BP + CC
FBgn0038704	Aptx	aprataxin	True	True	True	True	4	True	BP + CC
FBgn0033062	Ars2	Arsenic resistance protein 2	True	True	True	True	6	True	BP + CC
FBgn0004587	B52	B52	True	True	True	True	10	True	BP + CC
FBgn0039558	BCAS2	BCAS2	True	True	True	True	1	True	BP + CC
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	True	True	True	True	1	True	BP + CC
FBgn0032248	Bug22	Basal body up regulated gene 22	True	True	True	True	1	True	BP + CC
FBgn0004856	Bx42	Bx42	True	True	True	True	2	True	BP + CC
FBgn0035720	CG10077		True	False	False	True	3	True	BP only
FBgn0032690	CG10333		True	True	True	True	1	True	BP + CC
FBgn0034731	CG10384		True	False	False	True	2	True	BP only
FBgn0036277	CG10418		True	True	True	True	1	True	BP + CC
FBgn0037531	CG10445		True	False	True	True	3	True	BP only
FBgn0032822	CG10466		True	True	True	True	2	True	BP + CC
FBgn0036207	CG10907		True	True	True	True	1	True	BP + CC
FBgn0039920	CG11360		True	False	True	True	4	True	BP only
FBgn0031224	CG11454		True	False	False	True	1	True	BP only
FBgn0035520	CG11586		True	True	False	True	2	True	BP + CC
FBgn0034000	CG11808		True	True	True	True	1	True	BP + CC
FBgn0031022	CG12204		True	False	True	True	1	True	BP only
FBgn0033556	CG12343		True	True	True	True	1	True	BP + CC
FBgn0039210	CG13625		True	True	True	True	1	True	BP + CC
FBgn0031062	CG14230		True	False	False	True	1	True	BP only
FBgn0029880	CG14443		True	False	False	True	1	True	BP only
FBgn0037220	CG14641		True	True	True	True	1	True	BP + CC
FBgn0034402	CG15084		True	True	False	True	1	True	BP + CC
FBgn0030474	CG15747		True	True	True	True	2	True	BP + CC
FBgn0030468	CG1622		True	True	True	True	3	True	BP + CC
FBgn0028919	CG16865		True	True	True	True	2	True	BP + CC
FBgn0037882	CG17187		True	True	True	True	1	True	BP + CC
FBgn0033089	CG17266		True	True	True	True	2	True	BP + CC
FBgn0029751	CG17764		True	True	True	True	1	True	BP + CC
FBgn0032240	CG17768		True	True	False	True	2	True	BP + CC
FBgn0039870	CG1896		True	False	True	True	1	True	BP only
FBgn0037466	CG1965		True	True	True	True	3	True	BP + CC
FBgn0035271	CG2021		True	True	True	True	1	True	BP + CC
FBgn0024998	CG2685		True	True	True	True	1	True	BP + CC
FBgn0037344	CG2926		True	False	True	True	2	True	BP only
FBgn0037342	CG2931		True	True	True	True	1	True	BP + CC
FBgn0050122	CG30122		True	True	True	True	3	True	BP + CC
FBgn0051922	CG31922		True	False	True	True	1	True	BP only
FBgn0029887	CG3198		True	True	False	True	1	True	BP + CC
FBgn0031631	CG3225		True	True	True	True	1	True	BP + CC
FBgn0031628	CG3294		True	True	False	True	2	True	BP + CC
FBgn0036018	CG3335		True	False	False	True	1	True	BP only
FBgn0085342	CG34313		True	False	True	True	1	True	BP only
FBgn0263829	CG34334		True	False	False	True	1	True	BP only
FBgn0085383	CG34354		True	False	False	True	4	True	BP only
FBgn0031229	CG3436		True	True	True	True	2	True	BP + CC
FBgn0034739	CG3927		True	False	False	True	1	True	BP only
FBgn0034659	CG4021		True	False	False	True	1	True	BP only
FBgn0028474	CG4119		True	True	True	True	2	True	BP + CC
FBgn0261641	CG42724		True	True	True	True	7	True	BP + CC
FBgn0031287	CG4291		True	True	True	True	2	True	BP + CC
FBgn0039566	CG4849		True	True	True	True	1	True	BP + CC
FBgn0031318	CG4887		True	True	True	True	2	True	BP + CC
FBgn0031319	CG4896		True	False	False	True	5	True	BP only
FBgn0028897	CG4935		True	True	True	True	1	True	BP + CC
FBgn0038046	CG5641		True	True	True	True	1	True	BP + CC
FBgn0030625	CG5877		True	True	True	True	3	True	BP + CC
FBgn0043455	CG5986		True	False	False	True	2	True	BP only
FBgn0038927	CG6015		True	True	True	True	1	True	BP + CC
FBgn0030915	CG6179		True	True	True	True	1	True	BP + CC
FBgn0033862	CG6209		True	True	True	True	1	True	BP + CC
FBgn0035675	CG6610		True	True	False	True	3	True	BP + CC
FBgn0032388	CG6686		True	True	True	True	3	True	BP + CC
FBgn0030085	CG6999		True	False	True	True	1	True	BP only
FBgn0037573	CG7483		True	True	True	True	1	True	BP + CC
FBgn0036734	CG7564		True	True	True	True	4	True	BP + CC
FBgn0033615	CG7741		True	False	False	True	3	True	BP only
FBgn0034109	CG7747		True	True	True	True	1	True	BP + CC
FBgn0035235	CG7879		True	False	True	True	2	True	BP only
FBgn0038887	CG7907		True	False	False	True	2	True	BP only
FBgn0035254	CG7974		True	True	False	True	2	True	BP + CC
FBgn0034084	CG8435		True	False	False	True	1	True	BP only
FBgn0036386	CG8833		True	True	True	True	1	True	BP + CC
FBgn0030655	CG9213		True	False	False	True	2	True	BP only
FBgn0034564	CG9344		True	True	False	True	1	True	BP + CC
FBgn0037550	CG9667		True	True	True	True	2	True	BP + CC
FBgn0031883	Caper	Caper	True	True	True	True	7	True	BP + CC
FBgn0022943	Cbp20	cap binding protein 20	True	True	True	True	1	True	BP + CC
FBgn0022942	Cbp80	cap binding protein 80	True	True	True	True	2	True	BP + CC
FBgn0012058	Cdc27	Cell division cycle 27	True	True	True	True	2	True	BP + CC
FBgn0013435	Cdc2rk	Cdc2-related kinase	True	True	True	True	1	True	BP + CC
FBgn0265574	Cdc5	Cell division cycle 5	True	True	True	True	2	True	BP + CC
FBgn0035872	Cpsf6	Cleavage and polyadenylation specific factor 6	True	False	True	True	2	True	BP only
FBgn0031452	Cwc25	Cwc25	True	True	False	True	1	True	BP + CC
FBgn0035141	Cypl	Cyclophilin-like	True	True	True	True	1	True	BP + CC
FBgn0010220	Dbp45A	DEAD box protein 45A	True	False	True	True	1	True	BP only
FBgn0033160	Dhx15	DEAH-box helicase 15	True	True	True	True	2	True	BP + CC
FBgn0031601	Dim1	Dim1	True	True	True	True	1	True	BP + CC
FBgn0265998	Doa	Darkener of apricot	True	False	True	True	15	True	BP only
FBgn0023506	Es2	Es2	True	True	True	True	1	True	BP + CC
FBgn0030974	Flacc	Fl(2)d-associated complex component	True	False	True	True	3	True	BP only
FBgn0038454	Gpkow	G-patch domain and KOW motifs	True	True	False	True	1	True	BP + CC
FBgn0032812	Hakai	Hakai	True	False	True	True	4	True	BP only
FBgn0014189	Hel25E	Helicase at 25E	True	True	True	True	4	True	BP + CC
FBgn0267791	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K	True	False	True	True	6	True	BP only
FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	True	False	True	True	8	True	BP only
FBgn0004237	Hrb87F	Heterogeneous nuclear ribonucleoprotein at 87F	True	False	True	True	4	True	BP only
FBgn0001215	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE	True	False	True	True	6	True	BP only
FBgn0266599	Hsc70-4	Heat shock protein 70 cognate 4	True	True	True	True	7	True	BP + CC
FBgn0285926	Imp	IGF-II mRNA-binding protein	True	True	True	True	12	True	BP + CC
FBgn0261984	Ire1	Inositol-requiring enzyme-1	True	False	True	True	1	True	BP only
FBgn0067622	LSm-4	Like Sm protein 4	True	False	True	True	2	True	BP only
FBgn0051184	LSm3	Like Sm 3	True	True	True	True	2	True	BP + CC
FBgn0261068	LSm7	Like Sm 7	True	True	True	True	3	True	BP + CC
FBgn0033450	Lsm11	Lsm11	True	False	True	True	1	True	BP only
FBgn0032016	Mettl14	Methyltransferase like 14	True	False	True	True	1	True	BP only
FBgn0039139	Mettl3	Methyltransferase like 3	True	False	True	True	1	True	BP only
FBgn0035294	Mfap1	Microfibril-associated protein 1	True	True	True	True	1	True	BP + CC
FBgn0039581	Moca-cyp	Moca-cyp	True	True	True	True	3	True	BP + CC
FBgn0001986	Mtr4	Mtr4 helicase	True	True	True	True	1	True	BP + CC
FBgn0024542	Neos	Neosin	True	True	True	True	2	True	BP + CC
FBgn0039488	Nkap	NFKB activating protein	True	True	True	True	1	True	BP + CC
FBgn0039270	PQBP1	Poly-glutamine tract binding protein 1	True	True	True	True	1	True	BP + CC
FBgn0005648	Pabp2	Pabp2	True	True	True	True	2	True	BP + CC
FBgn0023216	Parg	Poly(ADP-ribose) glycohydrolase	True	False	True	True	2	True	BP only
FBgn0010247	Parp1	Poly-(ADP-ribose) polymerase 1	True	False	True	True	1	True	BP only
FBgn0004401	Pep	Protein on ecdysone puffs	True	True	True	True	4	True	BP + CC
FBgn0031822	Phf5a	PHD finger protein 5a	True	True	True	True	1	True	BP + CC
FBgn0037737	Pnn	Pinin	True	True	True	True	2	True	BP + CC
FBgn0027617	Ppil4	Peptidyl-prolyl cis/trans isomerase-like 4	True	True	True	True	1	True	BP + CC
FBgn0026713	Prp16	pre-mRNA processing factor 16	True	True	True	True	2	True	BP + CC
FBgn0027784	Prp18	Prp18	True	True	False	True	1	True	BP + CC
FBgn0261119	Prp19	Pre-RNA processing factor 19	True	True	True	True	1	True	BP + CC
FBgn0036915	Prp3	Precursor RNA processing 3	True	True	True	True	2	True	BP + CC
FBgn0036487	Prp31	Pre-mRNA processing factor 31	True	True	True	True	1	True	BP + CC
FBgn0050342	Prp38	pre-mRNA processing factor 38	True	True	True	True	1	True	BP + CC
FBgn0039600	Prp39	pre-mRNA processing factor 39	True	True	True	True	5	True	BP + CC
FBgn0031492	Prp40	pre-mRNA processing factor 40	True	True	True	True	1	True	BP + CC
FBgn0027587	Prp4k	Pre-mRNA processing factor 4 kinase	True	True	True	True	5	True	BP + CC
FBgn0030631	Prp5	pre-mRNA processing factor 5	True	True	True	True	1	True	BP + CC
FBgn0036828	Prp6	pre-mRNA processing factor 6	True	True	True	True	2	True	BP + CC
FBgn0033688	Prp8	pre-mRNA processing factor 8	True	True	True	True	1	True	BP + CC
FBgn0014870	Psi	P-element somatic inhibitor	True	False	True	True	5	True	BP only
FBgn0029133	REG	Proteasome regulator gamma	True	True	True	True	2	True	BP + CC
FBgn0052062	Rbfox1	RNA-binding Fox protein 1	True	False	False	True	9	True	BP only
FBgn0260944	Rbp1	RNA-binding protein 1	True	False	True	True	2	True	BP only
FBgn0030479	Rbp1-like	Rbp1-like	True	True	True	True	3	True	BP + CC
FBgn0010774	Ref1	RNA and export factor binding protein 1	True	True	True	True	1	True	BP + CC
FBgn0003261	Rm62	Rm62	True	True	True	True	12	True	BP + CC
FBgn0014024	Rnp4F	RNA-binding protein 4F	True	False	False	True	4	True	BP only
FBgn0037707	RnpS1	RNA-binding protein S1	True	False	True	True	1	True	BP only
FBgn0005649	Rox8	Rox8	True	True	True	True	6	True	BP + CC
FBgn0039182	Rrp5	Ribosomal RNA Processing 5	True	False	True	True	1	True	BP only
FBgn0011305	Rsf1	Repressor splicing factor 1	True	False	True	True	2	True	BP only
FBgn0265298	SC35	SR family splicing factor SC35	True	False	True	True	4	True	BP only
FBgn0025571	SF1	Splicing factor 1	True	True	True	True	3	True	BP + CC
FBgn0283477	SF2	Splicing factor 2	True	True	True	True	2	True	BP + CC
FBgn0261791	SNRPG	Small nuclear ribonucleoprotein G	True	True	True	True	2	True	BP + CC
FBgn0039229	Saf-B	Scaffold attachment factor B	True	False	True	True	4	True	BP only
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1	True	True	True	True	1	True	BP + CC
FBgn0036314	Sf3a2	Splicing factor 3a subunit 2	True	True	True	True	1	True	BP + CC
FBgn0031266	Sf3b1	Splicing factor 3b subunit 1	True	True	True	True	2	True	BP + CC
FBgn0031493	Sf3b2	Splicing factor 3b subunit 2	True	True	True	True	2	True	BP + CC
FBgn0035162	Sf3b3	Splicing factor 3b subunit 3	True	True	True	True	2	True	BP + CC
FBgn0040534	Sf3b5	Splicing factor 3b subunit 5	True	True	True	True	1	True	BP + CC
FBgn0035692	Sf3b6	Splicing factor 3b subunit 6	True	True	True	True	1	True	BP + CC
FBgn0039626	Slu7	Slu7	True	True	False	True	1	True	BP + CC
FBgn0262601	SmB	Small ribonucleoprotein particle protein SmB	True	True	True	True	1	True	BP + CC
FBgn0261933	SmD1	Small ribonucleoprotein particle protein SmD1	True	True	True	True	1	True	BP + CC
FBgn0261789	SmD2	Small ribonucleoprotein particle protein SmD2	True	True	True	True	1	True	BP + CC
FBgn0023167	SmD3	Small ribonucleoprotein particle protein SmD3	True	True	True	True	1	True	BP + CC
FBgn0261790	SmE	Small ribonucleoprotein particle protein SmE	True	True	True	True	1	True	BP + CC
FBgn0000426	SmF	Small ribonucleoprotein particle protein SmF	True	True	True	True	1	True	BP + CC
FBgn0036641	Smn	survival motor neuron	True	False	True	True	2	True	BP only
FBgn0038666	Smu1	Smu1 spliceosomal factor	True	True	True	True	3	True	BP + CC
FBgn0037716	Son	Son RNA binding protein	True	False	False	True	2	True	BP only
FBgn0039977	Spf30	Splicing factor 30	True	True	True	True	2	True	BP + CC
FBgn0086683	Spf45	Spf45	True	True	True	True	3	True	BP + CC
FBgn0015818	Spx	Spliceosomal protein on the X	True	True	True	True	1	True	BP + CC
FBgn0024285	Srp54	Splicing regulatory protein 54	True	True	True	True	1	True	BP + CC
FBgn0036340	Srrm1	Serine-arginine repetitive matrix 1	True	True	True	True	1	True	BP + CC
FBgn0035253	Srrm234	Serine-arginine repetitive matrix 2/3/4	True	True	True	True	10	True	BP + CC
FBgn0264270	Sxl	Sex lethal	True	False	True	True	25	True	BP only
FBgn0038826	Syp	Syncrip	True	True	True	True	20	True	BP + CC
FBgn0030365	Tango4	Transport and Golgi organization 4	True	True	True	True	1	True	BP + CC
FBgn0031456	Tnpo-SR	Transportin-Serine/Arginine rich	True	False	True	True	2	True	BP only
FBgn0033210	U2A	U2A	True	True	True	True	1	True	BP + CC
FBgn0015317	U2af35	U2 small nuclear riboprotein auxiliary factor 35	True	False	True	False	0	False	BP only
FBgn0017457	U2af38	U2 small nuclear riboprotein auxiliary factor 38	True	True	True	True	2	True	BP + CC
FBgn0005411	U2af50	U2 small nuclear riboprotein auxiliary factor 50	True	True	True	True	4	True	BP + CC
FBgn0036733	U4-U6-60K	U4-U6 small nuclear riboprotein factor 60K	True	True	True	True	1	True	BP + CC
FBgn0030969	Usp39	Ubiquitin specific protease 39	True	True	True	True	1	True	BP + CC
FBgn0037583	Veneno	Veneno	True	True	True	True	1	True	BP + CC
FBgn0027616	Ythdc1	YTH domain containing 1	True	False	True	True	2	True	BP only
FBgn0029941	ZC3H18	Zinc finger CCCH-type containing 18	True	True	True	True	4	True	BP + CC
FBgn0263603	Zn72D	Zinc-finger protein at 72D	True	True	True	True	6	True	BP + CC
FBgn0015331	abs	abstrakt	True	True	True	True	1	True	BP + CC
FBgn0036317	anw	angel wing	True	False	True	True	3	True	BP only
FBgn0029094	asf1	anti-silencing factor 1	True	False	True	True	2	True	BP only
FBgn0037081	barc	barricade	True	True	False	True	2	True	BP + CC
FBgn0037660	beag	beag	True	True	True	True	1	True	BP + CC
FBgn0000114	bru1	bruno 1	True	False	True	True	11	True	BP only
FBgn0262475	bru2	bruno 2	True	False	False	True	11	True	BP only
FBgn0264001	bru3	bruno 3	True	False	False	True	18	True	BP only
FBgn0045862	btz	barentsz	True	False	True	True	4	True	BP only
FBgn0040235	c12.1	c12.1	True	True	True	True	1	True	BP + CC
FBgn0031114	cactin	cactin	True	True	True	True	1	True	BP + CC
FBgn0285954	caz	cabeza	True	True	True	True	4	True	BP + CC
FBgn0000377	crn	crooked neck	True	True	True	True	1	True	BP + CC
FBgn0028382	cyp33	cyclophilin-33	True	True	True	True	1	True	BP + CC
FBgn0020306	dom	domino	True	False	True	True	4	True	BP only
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A	True	False	True	True	6	True	BP only
FBgn0000543	ecd	ecdysoneless	True	False	True	True	1	True	BP only
FBgn0000615	exu	exuperantia	True	True	True	True	4	True	BP + CC
FBgn0033859	fand	fandango	True	True	True	True	1	True	BP + CC
FBgn0000662	fl(2)d	female lethal d	True	False	True	True	4	True	BP only
FBgn0023441	fus	fusilli	True	False	True	True	8	True	BP only
FBgn0259139	glo	glorund	True	False	False	True	4	True	BP only
FBgn0011224	heph	hephaestus	True	False	False	True	25	True	BP only
FBgn0028577	hfp	half pint	True	True	True	True	10	True	BP + CC
FBgn0286786	hoip	hoi-polloi	True	True	True	True	2	True	BP + CC
FBgn0264491	how	held out wings	True	False	True	True	6	True	BP only
FBgn0024887	kin17	kin17	True	True	True	True	1	True	BP + CC
FBgn0001491	l(1)10Bb	lethal (1) 10Bb	True	True	True	True	1	True	BP + CC
FBgn0086444	l(2)37Cb	lethal (2) 37Cb	True	True	True	True	1	True	BP + CC
FBgn0011640	lark	lark	True	True	True	True	5	True	BP + CC
FBgn0035838	ldbr	lariat debranching enzyme	True	False	False	True	1	True	BP only
FBgn0263594	lost	lost	True	True	True	True	1	True	BP + CC
FBgn0038345	maca	maca	True	False	False	True	1	True	BP only
FBgn0002736	mago	mago nashi	True	True	True	True	1	True	BP + CC
FBgn0029979	mahe	maheshvara	True	False	False	True	2	True	BP only
FBgn0265487	mbl	muscleblind	True	False	True	True	19	True	BP only
FBgn0038772	mdlc	midlife crisis	True	True	True	True	1	True	BP + CC
FBgn0265184	miso	minor splicing and oogenesis	True	False	True	True	1	True	BP only
FBgn0002780	mod	modulo	True	False	False	True	2	True	BP only
FBgn0262737	mub	mushroom-body expressed	True	False	True	True	12	True	BP only
FBgn0086707	ncm	nucampholin	True	True	False	True	1	True	BP + CC
FBgn0027548	nito	spenito	True	True	True	True	3	True	BP + CC
FBgn0014366	noi	noisette	True	True	True	True	1	True	BP + CC
FBgn0004227	nonA	no on or off transient A	True	True	True	True	4	True	BP + CC
FBgn0034740	nsr	novel spermatogenesis regulator	True	False	False	True	2	True	BP only
FBgn0038344	obe	obelus	True	True	True	True	1	True	BP + CC
FBgn0265297	pAbp	poly(A) binding protein	True	True	True	True	3	True	BP + CC
FBgn0086895	pea	peanuts	True	True	True	True	1	True	BP + CC
FBgn0082831	pps	protein partner of snf	True	False	True	True	2	True	BP only
FBgn0261552	ps	pasilla	True	False	True	True	18	True	BP only
FBgn0022987	qkr54B	quaking related 54B	True	False	False	True	4	True	BP only
FBgn0022986	qkr58E-1	quaking related 58E-1	True	True	True	True	3	True	BP + CC
FBgn0022985	qkr58E-2	quaking related 58E-2	True	False	False	True	3	True	BP only
FBgn0022984	qkr58E-3	quaking related 58E-3	True	False	True	True	3	True	BP only
FBgn0261648	salm	spalt major	True	False	True	True	2	True	BP only
FBgn0051368	salsa	salsa	True	True	True	True	2	True	BP + CC
FBgn0024191	sip1	septin interacting protein 1	True	True	True	True	2	True	BP + CC
FBgn0003435	sm	smooth	True	False	False	True	21	True	BP only
FBgn0083987	snRNA:U11	small nuclear RNA U11	True	False	True	False	1	True	BP only
FBgn0041721	snRNA:U12	small nuclear RNA U12	True	False	True	False	1	True	BP only
FBgn0003916	snRNA:U1:21D	small nuclear RNA U1 at 21D	True	True	False	False	1	True	BP + CC
FBgn0004183	snRNA:U1:82Eb	small nuclear RNA U1 at 82Eb	True	True	False	False	1	True	BP + CC
FBgn0004185	snRNA:U1:95Ca	small nuclear RNA U1 at 95C a	True	True	False	False	1	True	BP + CC
FBgn0004186	snRNA:U1:95Cb	small nuclear RNA U1 at 95C b	True	True	False	False	1	True	BP + CC
FBgn0004187	snRNA:U1:95Cc	small nuclear RNA U1 at 95C c	True	True	False	False	1	True	BP + CC
FBgn0003920	snRNA:U2:14B	small nuclear RNA U2 at 14B	True	True	False	False	1	True	BP + CC
FBgn0004191	snRNA:U2:34ABa	small nuclear RNA U2 at 34AB a	True	True	False	False	1	True	BP + CC
FBgn0004192	snRNA:U2:34ABb	small nuclear RNA U2 at 34AB b	True	True	False	False	1	True	BP + CC
FBgn0041720	snRNA:U2:34ABc	small nuclear RNA U2 at 34AB c	True	True	False	False	1	True	BP + CC
FBgn0003922	snRNA:U2:38ABa	small nuclear RNA U2 at 38AB a	True	True	False	False	1	True	BP + CC
FBgn0003923	snRNA:U2:38ABb	small nuclear RNA U2 at 38AB b	True	True	False	False	1	True	BP + CC
FBgn0041719	snRNA:U4:25F	small nuclear RNA U4 at 25F	True	True	False	False	1	True	BP + CC
FBgn0003931	snRNA:U4:38AB	small nuclear RNA U4 at 38AB	True	True	False	False	1	True	BP + CC
FBgn0003930	snRNA:U4:39B	small nuclear RNA U4 at 39B	True	True	False	False	1	True	BP + CC
FBgn0263018	snRNA:U4atac	small nuclear RNA U4atac	True	False	False	False	1	True	BP only
FBgn0003933	snRNA:U5:14B	small nuclear RNA U5 at 14B	True	True	False	False	1	True	BP + CC
FBgn0003934	snRNA:U5:23D	small nuclear RNA U5 at 23D	True	True	False	False	1	True	BP + CC
FBgn0003935	snRNA:U5:34A	small nuclear RNA U5 at 34A	True	True	False	False	1	True	BP + CC
FBgn0003936	snRNA:U5:35D	small nuclear RNA U5 at 35D	True	True	False	False	1	True	BP + CC
FBgn0043022	snRNA:U5:38ABa	small nuclear RNA U5 at 38AB a	True	True	False	False	1	True	BP + CC
FBgn0043021	snRNA:U5:38ABb	small nuclear RNA U5 at 38AB b	True	True	False	False	1	True	BP + CC
FBgn0003938	snRNA:U5:63BC	small nuclear RNA U5 at 63BC	True	True	False	False	1	True	BP + CC
FBgn0004188	snRNA:U6:96Aa	small nuclear RNA U6 at 96A a	True	True	False	False	1	True	BP + CC
FBgn0004189	snRNA:U6:96Ab	small nuclear RNA U6 at 96A b	True	True	False	False	1	True	BP + CC
FBgn0004190	snRNA:U6:96Ac	small nuclear RNA U6 at 96A c	True	True	False	False	1	True	BP + CC
FBgn0041717	snRNA:U6atac	small nuclear RNA U6atac	True	False	True	False	1	True	BP only
FBgn0016978	snRNP-U1-70K	small ribonucleoprotein particle U1 subunit 70K	True	True	True	True	2	True	BP + CC
FBgn0261792	snRNP-U1-C	small ribonucleoprotein particle U1 subunit C	True	True	True	True	1	True	BP + CC
FBgn0003449	snf	sans fille	True	True	True	True	1	True	BP + CC
FBgn0263396	sqd	squid	True	True	True	True	5	True	BP + CC
FBgn0024987	ssx	sister-of-Sex-lethal	True	False	True	True	4	True	BP only
FBgn0039124	tbrd-1	testis-specifically expressed bromodomain containing protein-1	True	True	True	True	2	True	BP + CC
